years,month,sinkholes,level,algas,Cirsium,Dasylirion,Distichlis,Erigeron,Eustoma,Flaveria,Haploestes,nada,Nerysirenia,Polygala,Prosopis,Sabatia,Samolus,Schoenus,Sesuvium,Sporobolus,Total general
2009,mar,1.1,16,,,,,,,0.00082467,,,,,,,,,,,0.00082467
2009,mar,1.101,0,,,,,,,,,,,,,,0.00753984,,,,0.00753984
2009,mar,1.101,(en blanco),,,,7.85E-07,,,,,,,,,,0.02089164,,,0.00282744,0.023719865
2009,mar,1.11,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,mar,1.11,(en blanco),,,,,,,0.00141372,,,,,,,0.00408408,,,,0.0054978
2009,mar,1.12,0,,,,,,,,,,,,,,,0.0019635,,,0.0019635
2009,mar,1.12,(en blanco),,,,,,,,,,,,,,0.00557634,,,7.85E-07,0.005577125
2009,mar,1.13,0,,,,,,,,,,,,,,,0.00007854,,,0.00007854
2009,mar,1.13,(en blanco),,,,7.85E-07,,,0.00070686,,,,,,,0.00376992,2.04E-05,,,0.004497986
2009,mar,1.14,0,,,,,,,,,,,,,,,0.00125664,,,0.00125664
2009,mar,1.14,(en blanco),,,,,,,0.00243474,,,,,,,0.00793254,0.00298452,,,0.0133518
2009,mar,1.15,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,mar,1.15,(en blanco),,,,,,,,,,,,,,7.85E-07,,,,7.85E-07
2009,mar,1.16,2.5,,,,,,,,,,,,,,,0.01696464,,,0.01696464
2009,mar,1.16,(en blanco),,,,,,,,,,,,,,0.00188496,0.0015708,,7.85E-07,0.003456545
2009,mar,1.17,2,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,mar,1.17,(en blanco),,,,,,,,,,,,,,0.010289525,,,,0.010289525
2009,mar,1.18,5,,,,,,,,,,,,,,,0.0031416,,,0.0031416
2009,mar,1.18,(en blanco),,,,7.85E-07,,,,,,,,,,0.00223839,0.00047124,,,0.002710415
2009,mar,1.19,0,,,,,,,,,,,,,,,0.00031416,,,0.00031416
